resource_name,service_type,physical_address,city,state,zip_code,eligibility_criteria,contact_phone,website_url,source_url,keywords
Wounded Warrior Project,VA Benefits,"Multiple Locations",Nationwide,US,00000,Post-9/11 veterans,(888) 997-2586,https://www.woundedwarriorproject.org/,https://www.woundedwarriorproject.org/,veteran benefits support wounded
Texas Veterans Commission,VA Benefits,"1700 Congress Ave",Austin,TX,78701,Texas veterans and families,(800) 252-8387,https://www.tvc.texas.gov/,https://www.tvc.texas.gov/,texas veteran benefits claims
VA North Texas Health Care System,Primary Care,"4500 S Lancaster Rd",Dallas,TX,75216,Veterans with VA enrollment,(214) 742-8387,https://www.va.gov/north-texas-health-care/,https://www.va.gov/north-texas-health-care/,veteran healthcare dallas texas
Alaska Native Tribal Health Consortium,Primary Care,"4000 Ambassador Dr",Anchorage,AK,99508,Alaska Native and American Indian,(907) 729-1900,https://www.anthc.org/,https://www.anthc.org/,alaska native tribal health
Rural Health Information Hub,Primary Care,"Online Resource",Nationwide,US,00000,Rural health information for all,(800) 270-1898,https://www.ruralhealthinfo.org/,https://www.ruralhealthinfo.org/,rural health resources information
VA Homeless Veterans Programs,Housing Assistance,"National Program",Nationwide,US,00000,Homeless veterans,(877) 424-3838,https://www.va.gov/homeless/,https://www.va.gov/homeless/,homeless veteran housing support
Make the Connection,Mental Health,"Online Resource",Nationwide,US,00000,Veterans and families,,https://www.maketheconnection.net/,https://www.maketheconnection.net/,veteran mental health stories support
National Rural Health Association,Primary Care,"Online Resource",Nationwide,US,00000,Rural health advocacy,(202) 639-0550,https://www.ruralhealth.us/,https://www.ruralhealth.us/,rural health advocacy policy
VA Women Veterans Health Care,Primary Care,"National Program",Nationwide,US,00000,Women veterans,(855) 829-6636,https://www.womenshealth.va.gov/,https://www.womenshealth.va.gov/,women veteran healthcare
Easterseals,Dental,"Multiple Locations",Nationwide,US,00000,People with disabilities,(800) 221-6827,https://www.easterseals.com/,https://www.easterseals.com/,disability services dental vision
State Health Insurance Assistance Program,VA Benefits,"State Programs",Nationwide,US,00000,Medicare beneficiaries,(877) 839-2675,https://www.shiphelp.org/,https://www.shiphelp.org/,medicare insurance assistance
Federally Qualified Health Centers,Primary Care,"Multiple Locations",Nationwide,US,00000,Sliding scale - all patients,(301) 594-4000,https://findahealthcenter.hrsa.gov/,https://findahealthcenter.hrsa.gov/,community health center sliding scale
VA Substance Use Disorder Treatment,Substance Abuse,"National Program",Nationwide,US,00000,Veterans with substance use issues,(800) 827-1000,https://www.mentalhealth.va.gov/substance-use/,https://www.mentalhealth.va.gov/substance-use/,substance abuse veteran addiction treatment
Give an Hour,Mental Health,"National Network",Nationwide,US,00000,Veterans and families - free,,https://giveanhour.org/,https://giveanhour.org/,free mental health veteran therapy
Paralyzed Veterans of America,VA Benefits,"National Organization",Nationwide,US,00000,Paralyzed veterans,(800) 424-8200,https://pva.org/,https://pva.org/,paralyzed veteran disability benefits
VA Prosthetics and Sensory Aids,Vision,"National Program",Nationwide,US,00000,Veterans with prosthetic needs,(800) 827-1000,https://www.prosthetics.va.gov/,https://www.prosthetics.va.gov/,prosthetics veteran vision hearing
Feeding America,Food Assistance,"Multiple Locations",Nationwide,US,00000,Anyone facing hunger,(800) 771-2303,https://www.feedingamerica.org/,https://www.feedingamerica.org/,food assistance hunger nutrition
